B,S,O,inning,base_state,P(Swing),P(Contact),P(Whiff),P(Foul),P(Ball),P(Strike),P(Hit),P(Out),P(Struck Out),P(Home Run),P(Extra Base Hit),P(In Play),P(Walk),P(Hit By Pitch),P(Error),P(Sacrifice),Statistically Relevant
0,2,1,6,0-0-1,57.0%,75.3%,24.7%,44.2%,41.5%,40.7%,5.2%,28.1%,15.6%,0.7%,1.5%,17.8%,0%,0.7%,0%,1.5%,Yes
0,2,1,6,1-1-0,50.4%,80.9%,19.1%,44.2%,45.6%,35.9%,5.8%,27.1%,14.7%,0.3%,1.8%,18.5%,0%,0.8%,0%,0%,Yes
0,2,1,6,1-0-1,59.4%,77.9%,22.1%,44.2%,38.9%,41.1%,8.6%,26.3%,16.0%,2.3%,3.4%,20.0%,0%,0.6%,0%,4.6%,Yes
0,2,1,6,0-1-1,52.4%,75.9%,24.1%,35.2%,42.7%,35.9%,8.7%,30.1%,19.4%,1.0%,3.9%,21.4%,0%,0%,0%,4.9%,Yes
0,2,1,6,1-1-1,52.5%,71.2%,28.8%,39.7%,46.0%,37.4%,2.9%,32.4%,19.4%,0%,1.4%,16.5%,0%,2.2%,0%,2.2%,Yes
0,2,1,7,0-0-0,50.2%,72.6%,27.4%,40.4%,46.1%,37.7%,4.8%,29.7%,18.6%,0.5%,1.3%,16.2%,0%,0.2%,0.2%,0%,Yes
0,2,1,7,1-0-0,52.6%,73.5%,26.5%,39.4%,42.6%,39.5%,5.5%,32.2%,19.6%,0.3%,1.5%,18.0%,0%,0.4%,0%,0%,Yes
0,2,1,7,0-1-0,52.5%,75.0%,25.0%,44.5%,44.4%,39.6%,4.8%,29.6%,18.1%,1.2%,3.3%,16.0%,0%,0.7%,0%,0%,Yes
0,2,1,7,1-1-0,50.8%,77.2%,22.8%,41.1%,44.5%,37.1%,6.5%,29.7%,17.6%,0.5%,2.8%,18.3%,0%,0.5%,0%,0%,Yes
0,2,1,7,1-0-1,58.1%,83.3%,16.7%,48.1%,40.3%,39.2%,8.1%,24.2%,11.8%,0%,1.1%,20.4%,0%,0.5%,0%,4.8%,Yes
0,2,1,7,0-1-1,53.3%,78.6%,21.4%,35.7%,41.9%,35.2%,9.5%,30.5%,17.1%,0%,1.9%,22.9%,0%,1.0%,0%,2.9%,Yes
0,2,1,7,1-1-1,55.8%,67.4%,32.6%,39.5%,41.6%,42.9%,3.9%,33.8%,22.7%,0%,0.6%,15.6%,0%,1.3%,0%,5.2%,Yes
0,2,1,8,0-0-0,49.4%,73.5%,26.5%,40.0%,47.2%,36.3%,5.2%,28.6%,17.4%,0.6%,1.5%,16.5%,0%,0.6%,0.2%,0%,Yes
0,2,1,8,1-0-0,54.9%,77.0%,23.0%,43.2%,42.0%,39.5%,6.4%,29.0%,17.1%,0.2%,1.7%,18.5%,0%,0.5%,0%,0%,Yes
0,2,1,8,0-1-0,54.7%,78.1%,21.9%,45.1%,41.1%,40.8%,6.3%,29.3%,18.1%,0.5%,1.4%,18.1%,0%,0.2%,0.5%,0%,Yes
0,2,1,8,0-0-1,59.8%,81.2%,18.8%,43.8%,40.2%,37.4%,6.5%,27.1%,12.1%,0%,0%,22.4%,0%,0%,0%,1.9%,Yes
0,2,1,8,1-1-0,54.6%,74.9%,25.1%,40.5%,42.1%,39.1%,4.1%,32.5%,17.8%,0.8%,1.5%,18.8%,0%,0.8%,0%,0%,Yes
0,2,1,8,1-0-1,55.1%,70.7%,29.3%,34.7%,39.7%,40.4%,9.6%,30.9%,21.3%,1.5%,2.2%,19.9%,0%,2.2%,0%,2.9%,Yes
0,2,1,8,0-1-1,54.2%,76.2%,23.8%,45.2%,41.3%,41.9%,5.2%,29.0%,18.1%,0%,1.3%,16.8%,0%,0.6%,0%,3.2%,Yes
0,2,1,8,1-1-1,53.7%,74.7%,25.3%,32.9%,42.9%,34.7%,3.4%,36.7%,17.7%,0.7%,1.4%,22.4%,0%,0%,0%,5.4%,Yes
0,2,1,9,0-0-0,51.9%,70.8%,29.2%,39.1%,43.5%,40.0%,4.8%,32.4%,20.9%,0.6%,1.6%,16.5%,0%,0.6%,0.2%,0%,Yes
0,2,1,9,1-0-0,52.3%,76.6%,23.4%,40.5%,44.6%,36.6%,6.6%,28.5%,16.4%,0.2%,1.9%,18.9%,0%,0.9%,0.1%,0%,Yes
0,2,1,9,0-1-0,58.9%,70.3%,29.7%,37.2%,38.7%,41.8%,6.2%,33.6%,20.5%,1.7%,2.7%,19.5%,0%,0.3%,0.3%,0%,Yes
0,2,1,9,1-1-0,58.0%,76.9%,23.1%,48.2%,39.0%,44.3%,3.6%,29.8%,17.0%,0.3%,0.9%,16.7%,0%,0.6%,0%,0%,Yes
0,2,1,9,1-0-1,58.8%,70.0%,30.0%,32.9%,37.0%,41.2%,3.4%,41.2%,23.5%,0%,0.8%,21.8%,0%,0%,0%,2.5%,Yes
0,2,1,9,1-1-1,57.9%,76.5%,23.5%,34.6%,38.6%,37.1%,4.3%,37.9%,17.9%,0.7%,1.4%,24.3%,0%,1.4%,0%,5.7%,Yes
0,2,2,1,0-0-0,49.3%,69.8%,30.2%,39.2%,47.5%,37.5%,4.4%,29.7%,19.2%,0.7%,1.4%,15.1%,0%,0.1%,0.2%,0%,Yes
0,2,2,1,1-0-0,49.3%,72.0%,28.0%,42.4%,47.0%,38.4%,5.4%,27.9%,18.9%,0.4%,1.6%,14.6%,0%,0.5%,0.1%,0%,Yes
0,2,2,1,0-1-0,45.4%,74.5%,25.5%,38.5%,51.0%,32.7%,5.5%,26.2%,15.8%,0.8%,1.7%,16.3%,0%,0.6%,0.4%,0%,Yes
0,2,2,1,0-0-1,55.3%,70.9%,29.1%,43.6%,42.7%,42.2%,6.0%,30.2%,21.1%,0.5%,2.0%,15.1%,0%,1.0%,0%,0%,Yes
0,2,2,1,1-1-0,49.5%,70.2%,29.8%,39.3%,46.8%,37.9%,5.8%,29.0%,19.9%,0.7%,1.8%,15.3%,0%,0.2%,0.4%,0%,Yes
0,2,2,1,1-0-1,51.5%,76.9%,23.1%,40.4%,43.1%,38.1%,8.4%,28.7%,18.3%,1.5%,3.0%,18.8%,0%,0.5%,0%,0%,Yes
0,2,2,1,0-1-1,51.1%,71.4%,28.6%,38.6%,45.3%,38.0%,6.6%,29.2%,19.0%,1.5%,2.2%,16.8%,0%,0%,0%,0%,Yes
0,2,2,1,1-1-1,50.0%,75.9%,24.1%,48.2%,47.0%,39.2%,2.4%,26.5%,15.7%,0%,0.6%,13.9%,0%,0.6%,0.6%,0%,Yes
0,2,2,2,0-0-0,48.1%,70.2%,29.8%,40.3%,47.6%,38.0%,4.2%,29.9%,20.0%,0.4%,1.2%,14.4%,0%,0.4%,0.2%,0%,Yes
0,2,2,2,1-0-0,50.5%,71.7%,28.3%,40.7%,46.0%,38.3%,5.4%,28.6%,18.5%,0.3%,1.1%,15.6%,0%,0.3%,0.2%,0%,Yes
0,2,2,2,0-1-0,48.9%,68.9%,31.1%,42.2%,48.1%,38.8%,3.5%,29.0%,19.5%,0.6%,1.2%,13.1%,0%,0.6%,0%,0%,Yes
0,2,2,2,0-0-1,46.2%,72.8%,27.2%,42.4%,47.7%,38.2%,4.5%,28.1%,18.6%,0%,1.0%,14.1%,0%,0.5%,0%,0%,Yes
0,2,2,2,1-1-0,50.8%,71.7%,28.3%,37.7%,46.3%,36.5%,5.5%,30.5%,18.9%,0.5%,1.9%,17.3%,0%,0.5%,0.2%,0%,Yes
0,2,2,2,1-0-1,46.9%,78.6%,21.4%,45.9%,49.8%,34.9%,4.8%,26.8%,16.3%,0%,1.0%,15.3%,0%,0%,0%,0%,Yes
0,2,2,2,0-1-1,55.4%,76.1%,23.9%,44.8%,41.3%,41.3%,7.4%,27.3%,17.4%,1.7%,3.3%,17.4%,0%,0%,0%,0%,Yes
0,2,2,2,1-1-1,49.3%,71.6%,28.4%,38.8%,48.5%,35.3%,5.9%,26.5%,16.2%,0%,1.5%,16.2%,0%,0%,0%,0%,Yes
0,2,2,3,0-0-0,48.2%,74.8%,25.2%,38.6%,48.4%,34.1%,5.0%,28.7%,16.4%,0.3%,1.6%,17.5%,0%,0.3%,0.2%,0%,Yes
0,2,2,3,1-0-0,51.4%,74.3%,25.7%,39.4%,45.6%,36.5%,5.3%,30.1%,17.6%,0.3%,1.3%,17.9%,0%,0.9%,0.1%,0%,Yes
0,2,2,3,0-1-0,51.3%,81.0%,19.0%,43.7%,45.6%,35.2%,5.7%,27.3%,13.8%,0.6%,1.0%,19.1%,0%,0.4%,0%,0%,Yes
0,2,2,3,0-0-1,46.3%,76.6%,23.4%,44.7%,51.2%,34.0%,5.4%,24.1%,14.8%,0.5%,0.5%,14.8%,0%,0.5%,0%,0%,Yes
0,2,2,3,1-1-0,53.0%,75.4%,24.6%,39.2%,44.1%,36.8%,5.9%,30.1%,17.1%,0.9%,2.7%,19.2%,0%,0%,0%,0%,Yes
0,2,2,3,1-0-1,53.6%,71.7%,28.3%,40.8%,44.6%,38.8%,4.5%,31.2%,19.6%,0.4%,0.4%,16.5%,0%,0%,0.4%,0%,Yes
0,2,2,3,0-1-1,49.2%,77.6%,22.4%,44.8%,47.5%,36.4%,4.2%,28.0%,16.1%,0.8%,0.8%,16.1%,0%,0.8%,0%,0%,Yes
0,2,2,3,1-1-1,52.1%,71.2%,28.8%,37.0%,44.3%,37.9%,6.4%,30.7%,19.3%,0.7%,2.9%,17.9%,0%,0.7%,0%,0%,Yes
0,2,2,4,0-0-0,49.3%,75.3%,24.7%,40.7%,48.2%,34.7%,5.4%,27.0%,15.4%,0.6%,1.8%,17.1%,0%,0.6%,0.1%,0%,Yes
0,2,2,4,1-0-0,50.4%,78.9%,21.1%,43.2%,47.1%,34.9%,6.9%,25.2%,14.3%,0.6%,2.0%,18.0%,0%,0.1%,0.1%,0%,Yes
0,2,2,4,0-1-0,48.8%,71.3%,28.7%,36.1%,45.9%,36.9%,5.3%,31.6%,20.2%,0.4%,1.3%,17.2%,0%,0.2%,0.4%,0%,Yes
0,2,2,4,0-0-1,48.7%,76.1%,23.9%,42.4%,50.3%,33.3%,4.2%,25.4%,13.2%,0%,1.6%,16.4%,0%,0.5%,0%,0%,Yes
0,2,2,4,1-1-0,52.1%,74.8%,25.2%,41.1%,45.0%,37.5%,5.8%,29.7%,18.0%,0.2%,2.4%,17.5%,0%,0.2%,0%,0%,Yes
0,2,2,4,1-0-1,50.2%,74.3%,25.7%,29.5%,45.9%,31.6%,4.8%,34.0%,16.7%,0.5%,1.0%,22.5%,0%,0%,0.5%,0%,Yes
0,2,2,4,0-1-1,53.5%,76.6%,23.4%,42.9%,43.1%,38.9%,5.6%,28.5%,16.7%,0%,0%,18.1%,0%,0%,0.7%,0%,Yes
0,2,2,4,1-1-1,53.5%,67.1%,32.9%,27.6%,40.8%,38.0%,4.9%,40.1%,23.9%,1.4%,2.8%,21.1%,0%,1.4%,0%,0%,Yes
0,2,2,5,0-0-0,49.0%,74.3%,25.7%,38.0%,47.4%,34.9%,5.2%,29.2%,16.9%,0.5%,1.6%,17.8%,0%,0.4%,0.3%,0%,Yes
0,2,2,5,1-0-0,52.2%,74.8%,25.2%,39.7%,44.9%,36.8%,6.7%,28.8%,17.2%,0.5%,2.1%,18.3%,0%,0.4%,0%,0%,Yes
0,2,2,5,0-1-0,50.5%,73.7%,26.3%,38.9%,47.9%,34.6%,4.1%,29.2%,15.7%,0.4%,1.0%,17.6%,0%,0.8%,0%,0%,Yes
0,2,2,5,0-0-1,53.1%,77.3%,22.7%,44.5%,42.9%,39.7%,4.5%,30.4%,17.4%,0%,0.4%,17.4%,0%,0%,0%,0%,Yes
0,2,2,5,1-1-0,52.1%,72.6%,27.4%,39.9%,44.9%,38.1%,6.8%,28.7%,18.7%,0.9%,1.2%,17.1%,0%,0.5%,0%,0%,Yes
0,2,2,5,1-0-1,53.9%,78.8%,21.2%,37.3%,42.0%,35.6%,5.9%,32.9%,16.4%,0%,2.7%,22.4%,0%,0%,0%,0%,Yes
0,2,2,5,0-1-1,52.9%,81.8%,18.2%,41.8%,45.2%,33.7%,6.7%,27.9%,13.5%,0%,1.0%,21.2%,0%,1.0%,0%,0%,Yes
0,2,2,5,1-1-1,51.3%,67.9%,32.1%,32.1%,43.4%,38.2%,5.3%,34.9%,22.4%,0.7%,0.7%,18.4%,0%,0%,0.7%,0%,Yes
0,2,2,6,0-0-0,47.5%,72.4%,27.6%,38.6%,48.5%,35.4%,5.4%,28.9%,18.3%,0.5%,1.6%,16.1%,0%,0.2%,0.1%,0%,Yes
0,2,2,6,1-0-0,49.2%,77.3%,22.7%,40.3%,48.0%,33.7%,7.0%,25.7%,14.8%,0.6%,2.6%,18.2%,0%,0.4%,0.3%,0%,Yes
0,2,2,6,0-1-0,51.3%,69.7%,30.3%,36.9%,45.5%,37.7%,4.9%,31.3%,19.6%,0%,1.1%,16.8%,0%,0.6%,0.2%,0%,Yes
0,2,2,6,0-0-1,45.6%,72.0%,28.0%,35.4%,49.4%,33.9%,4.4%,31.7%,20.0%,0.6%,3.3%,16.7%,0%,1.1%,0.6%,0%,Yes
0,2,2,6,1-1-0,54.4%,68.8%,31.2%,35.2%,41.8%,39.9%,7.2%,33.5%,22.5%,0.6%,3.2%,18.3%,0%,0.2%,0%,0%,Yes
0,2,2,6,1-0-1,49.2%,71.4%,28.6%,33.7%,45.7%,35.7%,5.5%,34.7%,21.6%,1.5%,3.0%,18.6%,0%,0.5%,0%,0%,Yes
0,2,2,6,0-1-1,53.4%,74.6%,25.4%,45.1%,42.9%,41.4%,2.3%,34.6%,21.1%,0%,0.8%,15.8%,0%,0%,0%,0%,Yes
0,2,2,6,1-1-1,60.3%,76.5%,23.5%,40.2%,37.0%,41.1%,5.5%,33.3%,17.8%,0.5%,2.3%,21.9%,0%,0.5%,0%,0%,Yes
0,2,2,7,0-0-0,48.5%,69.7%,30.3%,40.2%,47.9%,37.8%,4.4%,28.8%,19.3%,0.7%,1.7%,14.3%,0%,0.3%,0.3%,0%,Yes
0,2,2,7,1-0-0,47.7%,73.9%,26.1%,40.6%,47.9%,36.3%,4.4%,29.4%,18.3%,0.5%,1.5%,15.9%,0%,0%,0.3%,0%,Yes
0,2,2,7,0-1-0,50.6%,72.2%,27.8%,38.6%,44.1%,38.9%,5.7%,31.3%,20.2%,0%,1.9%,17.0%,0%,0.4%,0.2%,0%,Yes
0,2,2,7,0-0-1,53.3%,73.3%,26.7%,37.8%,45.0%,36.1%,6.5%,28.4%,16.0%,0.6%,1.8%,18.9%,0%,0.6%,0%,0%,Yes
0,2,2,7,1-1-0,48.9%,73.8%,26.2%,40.3%,47.9%,35.7%,5.5%,28.2%,17.6%,0.2%,1.4%,16.4%,0%,1.0%,0.2%,0%,Yes
0,2,2,7,1-0-1,49.2%,62.5%,37.5%,32.3%,48.2%,36.9%,7.2%,29.7%,22.1%,0.5%,1.0%,14.9%,0%,1.0%,0%,0%,Yes
0,2,2,7,0-1-1,47.9%,73.5%,26.5%,36.8%,46.5%,35.9%,7.7%,28.9%,19.0%,1.4%,2.8%,17.6%,0%,0%,0%,0%,Yes
0,2,2,7,1-1-1,57.8%,69.7%,30.3%,36.1%,39.3%,41.2%,8.5%,30.8%,20.9%,1.4%,4.3%,19.4%,0%,0%,0.9%,0%,Yes
0,2,2,8,0-0-0,49.1%,70.6%,29.4%,37.5%,46.8%,36.9%,5.1%,30.7%,19.7%,0.3%,1.6%,16.3%,0%,0.1%,0.1%,0%,Yes
0,2,2,8,1-0-0,49.5%,70.4%,29.6%,38.3%,45.9%,38.2%,5.5%,30.7%,20.5%,0.3%,2.1%,15.9%,0%,0.1%,0.1%,0%,Yes
0,2,2,8,0-1-0,50.4%,70.2%,29.8%,38.0%,46.0%,37.7%,5.9%,29.2%,19.4%,1.0%,2.2%,16.2%,0%,1.0%,0.4%,0%,Yes
0,2,2,8,0-0-1,53.5%,70.4%,29.6%,34.3%,43.1%,37.6%,5.9%,34.2%,20.8%,1.0%,2.5%,19.3%,0%,0.5%,0%,0%,Yes
0,2,2,8,1-1-0,53.7%,74.4%,25.6%,41.6%,43.6%,38.8%,5.0%,30.0%,17.6%,0.4%,1.7%,17.6%,0%,0.8%,0.2%,0%,Yes
0,2,2,8,1-0-1,54.5%,72.0%,28.0%,40.2%,40.5%,42.1%,5.4%,32.6%,21.1%,0.8%,2.1%,17.4%,0%,0.8%,0.4%,0%,Yes
0,2,2,8,0-1-1,62.1%,71.4%,28.6%,50.6%,33.9%,53.2%,3.2%,33.9%,24.2%,0%,1.6%,12.9%,0%,0.8%,0%,0%,Yes
0,2,2,8,1-1-1,52.6%,75.5%,24.5%,46.4%,42.1%,42.6%,6.7%,27.3%,18.7%,1.4%,2.9%,15.3%,0%,0%,0%,0%,Yes
0,2,2,9,0-0-0,53.6%,68.6%,31.4%,38.5%,42.8%,41.1%,4.8%,32.5%,21.4%,0.3%,1.0%,16.1%,0%,0.2%,0.3%,0%,Yes
0,2,2,9,1-0-0,53.5%,70.6%,29.4%,40.8%,42.3%,41.8%,4.6%,32.4%,21.1%,0.2%,0.9%,16.0%,0%,0.2%,0.1%,0%,Yes
0,2,2,9,0-1-0,52.0%,68.2%,31.8%,39.2%,45.2%,39.7%,4.7%,30.1%,19.7%,0.2%,2.1%,15.1%,0%,0.2%,0%,0%,Yes
0,2,2,9,0-0-1,47.6%,72.9%,27.1%,45.8%,49.2%,37.9%,0.8%,29.8%,18.5%,0%,0%,12.9%,0%,0.8%,0.8%,0%,Yes
0,2,2,9,1-1-0,53.7%,69.6%,30.4%,39.2%,42.6%,41.1%,4.7%,32.6%,21.8%,0.5%,1.1%,16.3%,0%,0.3%,0.8%,0%,Yes
0,2,2,9,1-0-1,53.8%,75.0%,25.0%,46.4%,39.7%,44.9%,1.3%,34.0%,20.5%,0%,0%,15.4%,0%,0.6%,0.6%,0%,Yes
0,2,2,9,0-1-1,55.2%,73.4%,26.6%,35.9%,44.0%,35.3%,8.6%,27.6%,15.5%,0.9%,2.6%,20.7%,0%,0.9%,0%,0%,Yes
0,2,2,9,1-1-1,61.7%,71.0%,29.0%,41.0%,36.4%,45.1%,3.1%,35.8%,21.6%,0%,1.2%,18.5%,0%,1.2%,0.6%,0%,Yes
1,0,0,1,0-0-0,41.6%,82.3%,17.7%,42.4%,32.7%,50.7%,5.8%,10.6%,0%,1.2%,2.5%,16.6%,0%,0.1%,0.2%,0%,Yes
1,0,0,1,1-0-0,39.4%,78.2%,21.8%,41.7%,37.0%,48.6%,5.6%,8.7%,0%,0.8%,2.2%,14.4%,0%,0.4%,0%,0.1%,Yes
1,0,0,1,0-1-0,45.7%,76.7%,23.3%,38.4%,34.6%,47.9%,5.9%,11.4%,0%,1.1%,1.9%,17.6%,0%,0%,0.3%,0.3%,Yes
1,0,0,1,1-1-0,41.9%,73.4%,26.6%,42.4%,35.0%,52.0%,4.8%,8.0%,0%,1.1%,2.4%,13.0%,0%,0%,0%,0.3%,Yes
1,0,0,1,1-0-1,49.5%,71.7%,28.3%,35.8%,35.5%,46.7%,6.5%,11.2%,0%,0.9%,2.8%,17.8%,0%,0%,0%,1.9%,Yes
1,0,0,2,0-0-0,41.5%,77.1%,22.9%,40.8%,32.5%,52.4%,5.1%,9.7%,0%,1.0%,2.2%,15.0%,0%,0.2%,0.2%,0%,Yes
1,0,0,2,1-0-0,42.5%,76.5%,23.5%,40.9%,32.8%,52.1%,4.7%,10.3%,0%,1.1%,2.3%,15.1%,0%,0.4%,0.1%,0%,Yes
1,0,0,2,0-1-0,44.7%,72.1%,27.9%,35.0%,33.2%,50.2%,6.1%,10.5%,0%,0%,0.6%,16.6%,0%,0%,0%,0.3%,Yes
1,0,0,2,1-1-0,46.2%,78.0%,22.0%,41.7%,33.5%,49.8%,4.0%,12.7%,0%,0%,1.8%,16.7%,0%,0.4%,0%,1.1%,Yes
1,0,0,3,0-0-0,40.6%,77.5%,22.5%,36.9%,31.5%,52.1%,5.6%,10.8%,0%,1.0%,2.3%,16.5%,0%,0.2%,0.1%,0%,Yes
1,0,0,3,1-0-0,43.0%,80.9%,19.1%,44.5%,33.4%,50.9%,4.8%,10.8%,0%,1.1%,2.1%,15.7%,0%,0.2%,0%,0.5%,Yes
1,0,0,3,0-1-0,40.8%,78.6%,21.4%,42.8%,34.1%,51.3%,3.7%,11.0%,0%,0.8%,1.7%,14.6%,0%,0.3%,0%,0.8%,Yes
1,0,0,3,1-1-0,46.2%,75.0%,25.0%,38.6%,34.7%,48.5%,5.6%,10.9%,0%,1.0%,3.6%,16.8%,0%,0%,0%,1.0%,Yes
1,0,0,3,1-0-1,56.1%,58.3%,41.7%,26.7%,29.9%,52.3%,7.5%,9.3%,0%,0.9%,4.7%,17.8%,0%,0%,0%,4.7%,Yes
1,0,0,4,0-0-0,42.9%,77.2%,22.8%,39.7%,33.0%,50.9%,5.4%,10.6%,0%,1.2%,2.4%,16.1%,0%,0.1%,0.1%,0%,Yes
1,0,0,4,1-0-0,43.4%,78.9%,21.1%,40.5%,34.6%,48.7%,6.0%,10.5%,0%,0.6%,1.8%,16.6%,0%,0.5%,0.1%,0.1%,Yes
1,0,0,4,0-1-0,48.0%,83.5%,16.5%,40.5%,31.3%,48.0%,7.9%,12.5%,0%,0.3%,2.1%,20.7%,0%,0.3%,0.3%,1.2%,Yes
1,0,0,4,1-1-0,47.3%,75.3%,24.7%,34.7%,32.8%,47.9%,5.0%,14.2%,0%,0.9%,1.9%,19.2%,0%,0%,0%,3.5%,Yes
1,0,0,5,0-0-0,42.6%,77.4%,22.6%,40.2%,31.8%,52.4%,5.5%,10.1%,0%,1.0%,2.6%,15.9%,0%,0.1%,0.2%,0%,Yes
1,0,0,5,1-0-0,42.9%,80.0%,20.0%,40.0%,34.4%,48.4%,6.4%,10.5%,0%,1.3%,2.3%,17.2%,0%,0.2%,0.1%,0.4%,Yes
1,0,0,5,0-1-0,48.6%,79.1%,20.9%,37.2%,35.3%,44.4%,5.4%,15.0%,0%,0.3%,0.6%,20.3%,0%,0%,0%,2.8%,Yes
1,0,0,5,1-1-0,43.4%,83.3%,16.7%,40.6%,35.8%,45.6%,6.3%,11.3%,0%,0.9%,2.5%,18.6%,0%,0.6%,0.6%,2.2%,Yes
1,0,0,5,1-0-1,51.3%,85.0%,15.0%,50.0%,29.9%,52.1%,8.5%,9.4%,0%,1.7%,3.4%,17.9%,0%,0%,0%,1.7%,Yes
1,0,0,6,0-0-0,41.9%,79.4%,20.6%,41.1%,33.4%,50.6%,5.4%,10.6%,0%,1.1%,2.1%,16.0%,0%,0.1%,0.1%,0%,Yes
1,0,0,6,1-0-0,41.2%,79.9%,20.1%,40.2%,34.8%,48.9%,6.0%,10.1%,0%,1.0%,2.6%,16.3%,0%,0.4%,0.1%,0.2%,Yes
1,0,0,6,0-1-0,40.5%,70.5%,29.5%,32.4%,34.4%,50.1%,5.5%,9.9%,0%,1.2%,3.2%,15.5%,0%,0.6%,0%,1.7%,Yes
1,0,0,6,1-1-0,41.3%,76.9%,23.1%,35.4%,32.4%,50.5%,5.1%,12.1%,0%,0.6%,2.5%,17.1%,0%,0%,0%,1.3%,Yes
1,0,0,7,0-0-0,40.8%,77.2%,22.8%,36.8%,34.0%,49.6%,5.5%,10.8%,0%,1.0%,2.1%,16.4%,0%,0.1%,0.1%,0%,Yes
1,0,0,7,1-0-0,42.6%,77.7%,22.3%,38.0%,31.9%,51.2%,6.1%,10.6%,0%,0.9%,2.0%,16.9%,0%,0.2%,0.1%,0.1%,Yes
1,0,0,7,0-1-0,42.9%,73.8%,26.2%,38.3%,30.0%,54.8%,4.6%,10.4%,0%,1.2%,2.9%,15.3%,0%,0%,0.3%,0.9%,Yes
1,0,0,7,1-1-0,39.5%,71.9%,28.1%,37.5%,36.1%,50.3%,3.7%,9.6%,0%,0.6%,2.2%,13.6%,0%,0.3%,0%,2.8%,Yes
1,0,0,7,1-0-1,47.5%,72.9%,27.1%,35.4%,32.7%,49.5%,6.9%,9.9%,0%,0%,2.0%,17.8%,0%,0%,0%,2.0%,Yes
1,0,0,8,0-0-0,42.2%,74.0%,26.0%,39.2%,32.9%,52.5%,4.5%,10.0%,0%,0.7%,1.6%,14.7%,0%,0.3%,0.2%,0%,Yes
1,0,0,8,1-0-0,40.3%,79.0%,21.0%,40.0%,35.6%,48.7%,4.7%,10.9%,0%,0.7%,1.9%,15.7%,0%,0.5%,0%,0.9%,Yes
1,0,0,8,0-1-0,35.7%,78.4%,21.6%,38.7%,37.6%,48.2%,5.1%,8.7%,0%,0.3%,1.3%,14.1%,0%,1.0%,0.3%,1.0%,Yes
1,0,0,8,1-1-0,44.7%,73.0%,27.0%,39.5%,32.1%,52.9%,6.5%,7.9%,0%,0.9%,2.1%,15.0%,0%,0.6%,0%,0.9%,Yes
1,0,0,8,1-0-1,38.2%,69.2%,30.8%,35.9%,41.2%,46.1%,4.9%,7.8%,0%,0%,0%,12.7%,0%,0%,0%,2.9%,Yes
1,0,0,8,1-1-1,44.4%,80.8%,19.2%,36.5%,29.1%,51.3%,6.8%,12.0%,0%,0%,3.4%,19.7%,0%,0%,0%,1.7%,Yes
1,0,0,9,0-0-0,41.5%,76.3%,23.7%,39.0%,32.4%,52.1%,5.9%,9.5%,0%,1.1%,2.4%,15.5%,0%,0.3%,0.0%,0%,Yes
1,0,0,9,1-0-0,40.3%,74.3%,25.7%,37.4%,35.5%,49.7%,5.4%,9.2%,0%,0.8%,2.0%,14.9%,0%,0.5%,0%,0.8%,Yes
1,0,0,9,0-1-0,44.4%,77.8%,22.2%,38.0%,33.7%,48.6%,4.9%,12.8%,0%,0.4%,2.5%,17.7%,0%,0.4%,0%,1.2%,Yes
1,0,0,9,1-1-0,41.5%,75.4%,24.6%,32.5%,34.9%,47.3%,6.2%,11.6%,0%,1.1%,2.2%,17.8%,0%,0.7%,0%,1.8%,Yes
1,0,1,1,0-0-0,42.4%,76.2%,23.8%,40.3%,32.5%,52.2%,5.4%,9.7%,0%,1.1%,1.9%,15.2%,0%,0.1%,0.1%,0%,Yes
1,0,1,1,1-0-0,40.5%,75.6%,24.4%,40.9%,37.1%,48.8%,5.5%,8.4%,0%,0.8%,2.2%,14.1%,0%,0.1%,0%,0%,Yes
1,0,1,1,0-1-0,40.4%,74.9%,25.1%,40.7%,36.4%,49.8%,6.0%,7.5%,0%,1.5%,2.7%,13.8%,0%,0.3%,0.3%,0%,Yes
1,0,1,1,0-0-1,47.3%,73.1%,26.9%,28.2%,36.4%,42.4%,9.7%,11.5%,0%,0.6%,4.2%,21.2%,0%,0%,0%,4.8%,Yes
1,0,1,1,1-1-0,42.4%,78.4%,21.6%,39.2%,37.1%,46.3%,4.8%,11.5%,0%,0.5%,2.0%,16.6%,0%,0.4%,0%,0%,Yes
1,0,1,1,1-0-1,49.5%,71.1%,28.9%,35.6%,34.4%,48.0%,7.0%,10.3%,0%,0.4%,1.8%,17.6%,0%,0.4%,0%,1.5%,Yes
1,0,1,1,0-1-1,46.2%,83.3%,16.7%,37.2%,37.9%,40.8%,8.3%,13.0%,0%,0.6%,3.6%,21.3%,0%,1.2%,0%,3.6%,Yes
1,0,1,1,1-1-1,46.7%,78.5%,21.5%,46.8%,31.4%,53.8%,4.7%,10.1%,0%,0%,3.0%,14.8%,0%,0%,0%,3.6%,Yes
1,0,1,2,0-0-0,41.8%,76.1%,23.9%,39.6%,32.3%,52.4%,4.3%,10.8%,0%,0.7%,2.0%,15.2%,0%,0.1%,0.1%,0%,Yes
1,0,1,2,1-0-0,41.8%,76.5%,23.5%,36.1%,35.9%,47.2%,5.6%,11.1%,0%,1.3%,1.9%,16.9%,0%,0.1%,0.1%,0.1%,Yes
